t	opacity	T
2.8713555	0	1
2.887271	0	1
2.9031863	0	1
2.9350173	7.78E-43	1
2.9668481	6.96E-36	1
2.998679	1.60E-36	1
3.03051	1.14E-35	1
3.0623407	3.41E-34	1
3.0941715	3.77E-32	1
3.1260026	3.28E-33	1
3.1578333	5.28E-26	1
3.1896641	2.65E-25	1
3.2214952	5.06E-26	1
3.253326	2.54E-26	1
3.2851567	4.58E-34	1
3.3169878	7.23E-34	1
3.3488185	3.81E-32	1
3.3806493	1.03E-30	1
3.4124804	1.00E-31	1
3.4443111	4.54E-31	1
3.476142	5.11E-28	1
3.5079727	5.38E-27	1
3.5398037	3.06E-30	1
3.5716345	1.30E-26	1
3.6034656	1.14E-35	1
3.6352963	1.25E-38	1
3.6671271	5.66E-36	1
3.698958	6.63E-34	1
3.730789	1.20E-34	1
3.7626197	1.13E-32	1
3.7944508	7.27E-33	1
3.8262815	1.33E-32	1
3.8581123	6.68E-30	1
3.8899431	4.06E-27	1
3.921774	4.72E-28	1
3.9536047	5.79E-22	1
3.9854357	8.84E-22	1
4.0172663	5.54E-20	1
4.0490975	3.36E-19	1
4.0809283	2.58E-18	1
4.112759	3.08E-17	1
4.14459	2.08E-15	1
4.1764207	5.47E-13	1
4.198409	1.92E-10	1
4.2046432	1.08E-06	0.999999996
4.208252	2.65675163	0.993050285
4.210877	17.9310131	0.88802453
4.217111	145.820938	0.357791938
4.223345	256.505188	0.256337489
4.224645	273.928101	0.220486053
4.225195	281.291412	0.188882317
4.225745	288.498657	0.161145173
4.2262955	295.466156	0.136967021
4.2268457	302.324524	0.115974575
4.227396	308.729828	0.097863102
4.227946	313.870697	0.082346891
4.228496	318.819031	0.069095844
4.2290463	323.369293	0.057832128
4.2295966	327.471985	0.048293834
4.230147	331.058777	0.04025449
4.230697	333.725372	0.03350426
4.231247	335.994751	0.027851184
4.231797	338.207153	0.023119871
4.2323475	340.348267	0.019171002
4.2328978	342.290344	0.015880162
4.233448	344.007324	0.013142702
4.233998	345.127747	0.010870431
4.234548	346.054718	0.008985192
4.2350984	346.928711	0.007423849
4.2356486	347.679199	0.00613086
4.236199	348.366455	0.005062386
4.2367487	349.011475	0.004177767
4.237299	349.583679	0.003447006
4.237849	349.882538	0.002843102
4.2383995	349.347656	0.00234569
4.23895	348.39502	0.001936655
4.2395	347.430878	0.001599795
4.24005	346.467407	0.001581772
4.2400827	346.407776	0.001322269
4.2406	345.476807	0.001093298
4.2411504	344.400818	0.000904575
4.2417006	343.047668	0.000748934
4.242251	341.219543	0.000620846
4.2428007	339.316406	0.000515098
4.243351	337.419861	0.000427808
4.2439013	335.85498	0.000355629
4.2444515	334.316406	0.000295848
4.245002	332.867432	0.000246387
4.2455516	331.514893	0.000205293
4.246102	330.361206	0.000171184
4.246652	329.434906	0.000142796
4.2472024	327.951416	0.000119217
4.2477527	325.816223	9.96485E-05
4.248303	323.695068	8.34054E-05
4.2488527	321.717163	6.98725E-05
4.249403	319.871246	5.85949E-05
4.2499533	318.162201	4.91853E-05
4.2505035	316.578583	4.13188E-05
4.251054	315.135559	3.47479E-05
4.2516036	313.292328	2.92443E-05
4.252154	310.151917	2.4658E-05
4.252704	305.978516	2.08361E-05
4.2532544	301.651825	1.76492E-05
4.2538047	297.031158	1.499E-05
4.2543545	291.77948	1.27668E-05
4.2549047	285.789185	1.09089E-05
4.255455	279.287262	1.10022E-07
4.2719135	9.46952915	8.13905E-08
4.3037443	38.4445953	2.39398E-08
4.335575	208.644623	3.12472E-11
4.367406	4.70E-08	3.12472E-11
4.3992367	1.12E-12	3.12472E-11
4.4310675	5.21E-18	3.12472E-11
4.4628987	5.03E-22	3.12472E-11
4.4947295	7.50E-25	3.12472E-11
4.5265603	1.01E-24	3.12472E-11
4.558391	1.13E-25	3.12472E-11
4.590222	4.41E-24	3.12472E-11
4.622053	1.58E-23	3.12472E-11
4.653884	3.80E-24	3.12472E-11
4.6857147	1.31E-26	3.12472E-11
4.7175455	2.57E-26	3.12472E-11
4.7493763	3.24E-25	3.12472E-11
4.781207	1.00E-24	3.12472E-11
4.8130383	5.12E-42	3.12472E-11
4.844869	1.40E-45	3.12472E-11
4.8607845	0	3.12472E-11
4.8767	0	3.12472E-11
